Text	Complexity Score
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?"	0.28
Which genus of moth in the world's seventh-largest country contains only one species?	0.21
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?	0.16
What U.S Highway gives access to Zilpo Road, and is also known as Midland Trail?	0.16
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?	0.21
Are both The New Pornographers and Kings of Leon American rock bands?	0.14
Who was born first, Pablo Trapero or Aleksander Ford?	0.12
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?	0.21
Who was born first, Francis Nethersole or Elizabeth Stuart?	0.12
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?	0.21
Who is older Glenn Hughes or Ross Lynch?	0.09
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?"	0.19
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?	0.35
Which band has more members, Saint Motel or Curve?	0.14
Maurice Hines and his brother were famous for what?	0.12
Are the New Orleans Outfall Canals the same length as the Augusta Canal?	0.09
What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?	0.37
"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe""?"	0.21
Where is the base of one of the three main British intelligence agencies?	0.19
What is the name of the movie in which Edwin Brown plays a man that executed at least 400 people, including William Joyce and John Amery?	0.33
What genre of music is the solo artist that contributed to Real Damage a variant of?	0.21
Jake David Shapiro was best know for being the screenwriter of a film directed by who?	0.16
What type of vegetation does Kniphofia and Baptisia have in common?	0.16
What is the length of the River which has Wild Horse Creek as a tributary?	0.16
Who is the American internet entrepreneur who founded the company featured on 24 Hours on Craigslist?	0.23
Jo Ann Terry won the 80m hurdles event at what Sao Paulo-based event from 1963?	0.23
What is the name of this American multinational corporation that provides IT services, headquartered in New Jersey, that acquired Mirabeau?	0.3
What is the 3112 acre Pennsylvania state park that took over 11,000 to make due to the wave action of lake Erie called?	0.33
Benjamin Halfpenny was a footballer for a club that plays its home matches where?	0.21
Who chaired the ceremony in which the film written by Canet and Philippe Lefebvre won the award for Best Film?	0.26
Up to how far off can the Deal Timeball be from Coordinated Universal Time?	0.16
"""Apocalypic"" is a song sung by Lizzy Hale from which group?"	0.12
The Pineground Bridge formerly carried Depot Road over the Suncook River into a town with a population of what?	0.19
Which city is the American rock band, that released their album on March 19, 2012, from?	0.19
Which american president's father was a farmer and he was a former US representative from NY?	0.19
British band The Wanted's third album includes a song with a title about which Barbadian superstar?	0.26
Which of the following is best known for publicly championing a terminal patient's right to die via physician-assisted suicide: Christy Canyon or Jack Kevorkian?	0.35
Sojourners and KO Magazine share what publication format?	0.12
What comic book published the female superhero created by J. H. Williams III?	0.16
Thomas Harris is a novelist who is famous for creating which character?	0.14
Which director is American, Mark L. Lester or Ken Loach?	0.09
Kerrygold Irish Cream Liqueur is owned by a company that mainly sells what type or product?	0.19
Lendley C. Black is Chancellor of a university offering how many majors?	0.16
What American professional basketball player born in 1986 was awarded the Dave Gavitt Trophy during the 2007 Big East Men's Basketball Championship?	0.23
Were Up and The Watercolor released in the same year?	0.14
What city is located in Gauteng, South Africa with a suburb called Kew?	0.16
"What electronic band's song ""Dangerous"" was certified gold by the RIAA in May 2015?"	0.19
What year was the English actor and film producer born in who also starred in an adaptation with Renee Zellweger?	0.26
It Takes a Family is a response to this 1996 book that was published by who?	0.19
Which show connects Arthur Darvill and Matt Smith?	0.09
What era was the man associated with Fanny Talbot the leading art critic of?	0.14
"In which theatre in Los Angeles did the late-night talk show host of ""Chelsea Lately"" host the 2010 MTV Video Music Awards?"	0.26
Which event was a surprise military strike by the Imperial Japanese Navy Air Service while Magruder Hill Tuttle was a senior officer in the United States Navy?	0.26
On what date did a Canadian politician born January 2, 1979, succeed as leader of the New Democratic Party in Canada?	0.21
The first female board member for the Liberal Party, she was born in which county in Norway?	0.21
In the draft of the 2017–18 Phoenix Suns season, The Phoneix Suns picked which player that played one season for the Kansas Jayhawks?	0.21
"Richard Yates published a work by the name of ""Eleven Kinds of Loneliness"", one of Italo Calvino's best known works was of the same genre and named what?"	0.37
Son of Paleface starred the comedian and vaudevilian of what nationality?	0.14
Which rivalry were involved in the chant referring to the United Kingdom's Victories of the First and Second World War?	0.21
Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?	0.19
When was the Prime Minister of India after which V. K. Krishna Menon was regarded as the second most powerful man in India born?	0.3
What is the approximate population of the country that Koularo lies in?	0.16
Rani Silautia is an Indian politician from a party having links with which Hindu nationalist organization?	0.23
Route 146, Interstate 890, and what other highway all run through Schenectady, New York?	0.19
What was the official name for the draft that Thomas E. O'Donnell was a public opponent of?	0.19
What vehicle, introduced for model year 2006, does Patrick Carpentier currently drive in the NASCAR Sprint Cup Series?	0.21
When was the company that publishes the journal Magnetic Resonance Imaging established?	0.19
Who was the husband of the first olympic gymnast to be awarded a perfect score of 10.0?	0.19
Is Advanced Micro Devices or Level 3 Communications headquartered further west?	0.14
Who is married to Jim Tomlinson and released an album entitled Raconte-moi?	0.16
Which was halted by a natural disaster, Camlaren Mine or Barton Mine?	0.14
Tura Beach, New South Wales is a suburb of a town that had what population at the 2016 census?	0.19
Are Randal Kleiser and Kyle Schickner of the same nationality?	0.12
Barbara Jordan and Mark Knowles are both what?	0.09
Walter O'Brien was played by which English actor?	0.12
What two skills do Lee Hong-gi and Dee Snider have in common?	0.12
Are George Avakian and Bobby Managoff both record producers?	0.07
"The man that had a single titled ""That's My Pa"" played what character in the film ""High Noon""?"	0.28
Which member of the band Bad Seeds was older, Anita Lane or Nick Cave?	0.14
Which close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, did a scion of the Huger family of South Carolina attempt to rescue?	0.26
Elkhan Mammadov is the project leader for the bid for which quadrennial competition?	0.16
